Origin,ZIP,Distribution,Parameters,Chi-square,P-value,Minimum,Maximum
ONode3,90007,norm,"(224.24931506849316, 32.5459553840356)",1.054676646256483,0.94415,132.0,313.0
ONode0,90008,norm,"(174.4986301369863, 26.690681217925103)",1.692515275933296,0.37688,110.0,256.0
ONode1,90008,norm,"(156.84931506849315, 23.282229823585755)",1.4723495405111506,0.8855,80.0,230.0
ONode2,90008,norm,"(163.78630136986303, 26.48180204866717)",1.231566126617246,0.76879,104.0,242.0
ONode3,90008,norm,"(183.413698630137, 26.995003673021355)",1.0245708865512313,0.68991,97.0,267.0
ONode0,90010,norm,"(15.104109589041096, 6.272803623823939)",7.544361342329985,0.03061,2.0,34.0
ONode1,90010,norm,"(12.945205479452055, 5.556411601860058)",5.569039275560089,0.01627,1.0,31.0
ONode2,90010,norm,"(13.775342465753425, 6.397683245528374)",11.34964233338542,6e-05,1.0,42.0
ONode3,90010,norm,"(15.142465753424657, 6.107841755183366)",2.332212511597726,0.02154,2.0,38.0
ONode0,90011,norm,"(516.986301369863, 61.661758125172355)",0.9912382564864106,0.8159,353.0,706.0
ONode1,90011,norm,"(458.2301369863014, 53.57076151243634)",2.7454696172737907,0.92855,338.0,613.0
ONode2,90011,norm,"(481.8958904109589, 59.356550776620935)",1.3082781693756231,0.61816,332.0,690.0
ONode3,90011,norm,"(539.7643835616439, 63.8449692719194)",1.825030790797596,0.51264,368.0,715.0
ONode0,90012,norm,"(117.27945205479452, 20.51604757059542)",3.8323845854320853,0.31207,69.0,175.0
ONode1,90012,norm,"(103.4931506849315, 18.54570310804674)",1.1797649037956006,0.70517,55.0,169.0
ONode2,90012,norm,"(110.81917808219178, 19.921631786153498)",1.8597031030447997,0.76485,65.0,170.0
ONode3,90012,norm,"(123.21917808219177, 22.56038871674153)",5.100891617371274,0.43978,73.0,206.0
ONode0,90013,norm,"(54.93424657534246, 13.307369666694088)",2.8154851421505986,0.04582,24.0,94.0
ONode1,90013,norm,"(49.364383561643834, 11.722421670690881)",0.7607438258610392,0.28301,19.0,82.0
ONode2,90013,norm,"(51.64383561643836, 13.109203985126745)",8.61319221301871,0.09383,24.0,97.0
ONode3,90013,norm,"(57.8027397260274, 13.492341537521728)",2.1497087480411556,0.26249,26.0,126.0
ONode0,90014,norm,"(36.42191780821918, 10.319156896846644)",0.6252204159268987,0.36514,11.0,74.0
ONode1,90014,norm,"(32.602739726027394, 9.736162961158264)",2.19249099691692,0.27268,11.0,65.0
ONode2,90014,norm,"(33.704109589041096, 9.479616753656734)",5.520591153236944,0.05706,11.0,69.0
ONode3,90014,norm,"(37.33972602739726, 10.040994598528512)",2.2739828111022464,0.12683,11.0,66.0
ONode0,90015,norm,"(134.32602739726028, 22.53813831572997)",1.555655317186518,0.50291,78.0,202.0
ONode1,90015,norm,"(121.22465753424657, 22.123784887749867)",5.122320226678399,0.23385,49.0,191.0
ONode2,90015,norm,"(125.31780821917808, 21.988112245656826)",0.8446387828415962,0.76201,66.0,189.0
ONode3,90015,norm,"(141.37534246575342, 23.79936560005138)",3.53753642783743,0.20973,85.0,228.0
ONode0,91040,norm,"(181.92328767123288, 28.17702610550166)",3.1892738181749163,0.11736,110.0,265.0
ONode1,91040,norm,"(163.53424657534248, 25.866931442298494)",3.629347712944617,0.8425,105.0,254.0
ONode2,91040,norm,"(171.7972602739726, 26.998680701419264)",2.8250270043529997,0.54377,104.0,274.0
ONode3,91040,norm,"(190.56712328767122, 27.631013222908173)",0.43278010406864514,0.92554,121.0,272.0
ONode0,90016,norm,"(318.2739726027397, 42.064874968746025)",2.7261956266022045,0.40459,221.0,450.0
ONode1,90016,norm,"(281.8821917808219, 39.89444752269797)",1.2532714979086645,0.47161,169.0,389.0
ONode2,90016,norm,"(296.3753424657534, 40.666891992562846)",1.4622890897390703,0.22091,192.0,419.0
ONode3,90016,norm,"(331.21643835616436, 42.57112988450577)",2.426594573206137,0.72869,218.0,457.0
ONode0,90018,norm,"(296.46301369863016, 41.41453489424531)",1.0133595679181735,0.98451,181.0,396.0
ONode1,90018,norm,"(264.43013698630136, 35.41044921601341)",1.5668626506614087,0.64198,167.0,390.0
ONode2,90018,norm,"(275.4657534246575, 37.51028432192701)",1.719847836881554,0.44681,164.0,399.0
ONode3,90018,norm,"(307.5232876712329, 42.37145110381839)",0.9084355348146554,0.50093,174.0,456.0
